id,fact_phrase_1,fact_value_1,fact_phrase_2,fact_value_2,expected_answer,k0_answer,k0_correct,k0_target_rank,k0_target_log_probability,k1_answer,k1_correct,k1_target_rank,k1_target_log_probability,k5_answer,k5_correct,k5_target_rank,k5_target_log_probability,k10_answer,k10_correct,k10_target_rank,k10_target_log_probability,k25_answer,k25_correct,k25_target_rank,k25_target_log_probability,k50_answer,k50_correct,k50_target_rank,k50_target_log_probability,k100_answer,k100_correct,k100_target_rank,k100_target_log_probability
two_fact_0018,the atomic number of Calcium,20,the atomic number of Praseodymium,59,79,79,True,1,-0.0735321044921875,79,True,1,-0.24991226196289062,79,True,1,-0.06107330322265625,79,True,1,-0.1829833984375,79,True,1,-0.1354217529296875,79,True,1,-0.0801239013671875,79,True,1,-0.06649398803710938
two_fact_0019,the atomic number of Iodine,53,the atomic number of Rhodium,45,98,126,False,11,-4.721467971801758,126,False,11,-4.600191116333008,126,False,22,-5.826040267944336,126,False,54,-7.086711883544922,126,False,42,-6.788602828979492,153,False,34,-6.330844879150391,126,False,2,-1.6722335815429688
two_fact_0020,the atomic number of Copper,29,the atomic number of Iron,26,55,55,True,1,-0.6513328552246094,55,True,1,-0.05260467529296875,55,True,1,-0.040882110595703125,55,True,1,-0.07998275756835938,55,True,1,-0.04123687744140625,55,True,1,-0.026638031005859375,55,True,1,-0.041004180908203125
two_fact_0021,the atomic number of Holmium,67,the atomic number of Ytterbium,70,137,137,True,1,-0.5639915466308594,137,True,1,-0.3897514343261719,137,True,1,-0.487823486328125,137,True,1,-0.7810707092285156,135,False,2,-2.0369873046875,137,True,1,-0.7247104644775391,137,True,1,-0.8645572662353516
two_fact_0022,the atomic number of Palladium,46,the atomic number of Curium,96,142,146,False,6,-4.841413497924805,146,False,17,-8.028255462646484,146,False,9,-5.265399932861328,146,False,8,-4.88848876953125,146,False,6,-5.698602676391602,146,False,5,-5.8154449462890625,146,False,7,-6.18846321105957
two_fact_0023,the atomic number of Beryllium,4,the atomic number of Hafnium,72,76,78,False,2,-5.560127258300781,78,False,2,-3.8100814819335938,78,False,3,-4.704170227050781,78,False,2,-2.3097381591796875,78,False,2,-3.1656341552734375,78,False,2,-2.9342994689941406,78,False,2,-2.5289535522460938
two_fact_0024,the atomic number of Xenon,54,the atomic number of Magnesium,12,66,66,True,1,-0.24746322631835938,66,True,1,-0.3459053039550781,76,False,2,-1.8908195495605469,66,True,1,-0.5727806091308594,76,False,2,-0.7841453552246094,76,False,2,-0.804107666015625,66,True,1,-0.44707489013671875
two_fact_0025,the atomic number of Barium,56,the atomic number of Caesium,55,111,133,False,18,-7.218898773193359,133,False,10,-8.366472244262695,137,False,36,-9.503297805786133,137,False,43,-10.312520980834961,137,False,42,-11.973320007324219,137,False,51,-11.639324188232422,137,False,10,-8.92636489868164
two_fact_0026,the atomic number of Ytterbium,70,the atomic number of Tellurium,52,122,146,False,20,-5.3276214599609375,130,False,12,-4.659950256347656,146,False,20,-5.239755630493164,130,False,16,-4.919099807739258,154,False,25,-5.23912239074707,154,False,16,-4.244241714477539,130,False,7,-2.9886951446533203
two_fact_0027,the atomic number of Potassium,19,the atomic number of Praseodymium,59,78,72,False,2,-1.471710205078125,72,False,2,-1.3463592529296875,78,True,1,-0.5695381164550781,76,False,2,-1.2059860229492188,72,False,2,-1.0511550903320312,78,True,1,-0.056766510009765625,78,True,1,-0.254425048828125
two_fact_0028,the atomic number of Neptunium,93,the atomic number of Yttrium,39,132,112,False,27,-10.167240142822266,112,False,20,-8.317024230957031,112,False,17,-5.5882110595703125,112,False,21,-6.8549346923828125,112,False,25,-8.74200439453125,112,False,25,-7.982387542724609,112,False,28,-9.452930450439453
two_fact_0029,the atomic number of Lithium,3,the atomic number of Berkelium,97,100,103,False,2,-1.0550651550292969,100,True,1,-0.07314682006835938,100,True,1,-0.0821685791015625,100,True,1,-0.1083984375,100,True,1,-0.019596099853515625,100,True,1,-0.009490966796875,100,True,1,-0.017749786376953125
two_fact_0030,the atomic number of Lead,82,the atomic number of Platinum,78,160,172,False,22,-7.082965850830078,172,False,19,-6.5491485595703125,172,False,24,-7.468090057373047,172,False,22,-7.032747268676758,172,False,22,-8.12191390991211,172,False,18,-7.145076751708984,172,False,20,-8.293384552001953
two_fact_0031,the atomic number of Sodium,11,the atomic number of Vanadium,23,34,34,True,1,-0.016780853271484375,34,True,1,-0.005268096923828125,34,True,1,-0.012115478515625,34,True,1,-0.005649566650390625,34,True,1,-0.001415252685546875,34,True,1,-0.010189056396484375,34,True,1,-0.004039764404296875
two_fact_0032,the atomic number of Scandium,21,the atomic number of Carbon,6,27,27,True,1,-0.02341461181640625,27,True,1,-0.060123443603515625,27,True,1,-0.0382080078125,27,True,1,-0.10731887817382812,27,True,1,-0.09445571899414062,27,True,1,-0.06789398193359375,31,False,2,-2.6222381591796875
two_fact_0033,the atomic number of Zirconium,40,the atomic number of Holmium,67,107,127,False,15,-5.435728073120117,130,False,20,-7.228670120239258,137,False,25,-8.331966400146484,137,False,19,-7.973899841308594,127,False,16,-6.301853179931641,130,False,19,-7.962461471557617,127,False,2,-2.8118743896484375
two_fact_0034,the atomic number of Calcium,20,the atomic number of Uranium,92,112,98,False,9,-3.312620162963867,92,False,2,-1.3853816986083984,112,True,1,-1.2461051940917969,98,False,2,-1.4958229064941406,112,True,1,-1.4623680114746094,112,True,1,-1.5406837463378906,92,False,2,-1.325296401977539
two_fact_0035,the atomic number of Bismuth,83,the atomic number of Gallium,31,114,112,False,2,-7.242258071899414,112,False,3,-4.180095672607422,154,False,4,-2.3073158264160156,112,False,2,-4.440986633300781,154,False,11,-3.678861618041992,112,False,3,-3.3326988220214844,112,False,2,-2.8512840270996094
two_fact_0036,the atomic number of Astatine,85,the atomic number of Polonium,84,169,169,True,1,-0.9619770050048828,170,False,2,-1.5737266540527344,170,False,2,-1.8681983947753906,169,True,1,-1.2669715881347656,169,True,1,-0.8065757751464844,170,False,2,-1.3064727783203125,170,False,2,-1.8107261657714844
two_fact_0037,the atomic number of Barium,56,the atomic number of Technetium,43,99,99,True,1,-1.2379951477050781,139,False,6,-2.901247024536133,139,False,9,-5.055116653442383,138,False,13,-6.444780349731445,156,False,25,-7.410858154296875,156,False,68,-10.879964828491211,137,False,25,-7.566808700561523
two_fact_0038,the atomic number of Iron,26,the atomic number of Lithium,3,29,29,True,1,-0.000568389892578125,29,True,1,-0.00266265869140625,29,True,1,-0.00478363037109375,29,True,1,-0.00284576416015625,29,True,1,-0.000316619873046875,29,True,1,-0.006122589111328125,29,True,1,-0.000431060791015625
two_fact_0039,the atomic number of Polonium,84,the atomic number of Samarium,62,146,146,True,1,-1.0222358703613281,144,False,5,-2.6548290252685547,146,True,1,-1.322113037109375,146,True,1,-1.0274581909179688,146,True,1,-0.7534523010253906,144,False,2,-2.6758346557617188,144,False,2,-1.1700325012207031
two_fact_0040,the atomic number of Francium,87,the atomic number of Beryllium,4,91,97,False,6,-7.973236083984375,96,False,4,-6.42547607421875,97,False,4,-5.211708068847656,97,False,13,-11.807209014892578,97,False,6,-7.526098251342773,97,False,10,-10.553266525268555,97,False,4,-3.667949676513672
two_fact_0041,the atomic number of Iridium,77,the atomic number of Beryllium,4,81,87,False,9,-6.86707878112793,83,False,4,-2.1651763916015625,87,False,7,-6.90400505065918,87,False,11,-7.794033050537109,87,False,9,-8.027856826782227,87,False,9,-8.723165512084961,87,False,5,-4.587669372558594
two_fact_0042,the atomic number of Chlorine,17,the atomic number of Carbon,6,23,23,True,1,-0.0012054443359375,23,True,1,-0.000789642333984375,23,True,1,-0.012081146240234375,23,True,1,-0.005046844482421875,23,True,1,-0.10005950927734375,23,True,1,-0.08843612670898438,23,True,1,-0.0064697265625
two_fact_0043,the atomic number of Ruthenium,44,the atomic number of Rubidium,37,81,120,False,84,-12.242792129516602,120,False,54,-7.663841247558594,120,False,85,-9.585325241088867,120,False,73,-9.301227569580078,120,False,70,-9.522125244140625,120,False,80,-11.535430908203125,120,False,69,-10.135135650634766
two_fact_0044,the atomic number of Yttrium,39,the atomic number of Hydrogen,1,40,40,True,1,-0.00020599365234375,40,True,1,-0.000240325927734375,40,True,1,-0.000255584716796875,40,True,1,-0.00038909912109375,40,True,1,-0.00028228759765625,40,True,1,-8.392333984375e-05,40,True,1,-0.000171661376953125
two_fact_0045,the atomic number of Boron,5,the atomic number of Scandium,21,26,26,True,1,-0.00034332275390625,26,True,1,-0.0009307861328125,26,True,1,-0.000820159912109375,26,True,1,-0.001796722412109375,26,True,1,-0.004558563232421875,26,True,1,-0.031536102294921875,26,True,1,-0.001796722412109375
two_fact_0046,the atomic number of Titanium,22,the atomic number of Mercury,80,102,98,False,4,-3.2688674926757812,114,False,5,-3.119709014892578,112,False,4,-2.30145263671875,102,True,1,-1.4324798583984375,102,True,1,-1.0923538208007812,102,True,1,-1.5155868530273438,102,True,1,-1.2206344604492188
two_fact_0047,the atomic number of Oxygen,8,the atomic number of Plutonium,94,102,102,True,1,-0.00923919677734375,102,True,1,-0.001819610595703125,102,True,1,-0.001373291015625,102,True,1,-0.000789642333984375,102,True,1,-0.0008697509765625,102,True,1,-0.001010894775390625,102,True,1,-0.000965118408203125
two_fact_0048,the atomic number of Silicon,14,the atomic number of Palladium,46,60,60,True,1,-0.24755477905273438,60,True,1,-1.0232887268066406,60,True,1,-0.05492401123046875,60,True,1,-0.03476715087890625,60,True,1,-0.051677703857421875,60,True,1,-0.2775993347167969,60,True,1,-0.12415313720703125
two_fact_0049,the atomic number of Tellurium,52,the atomic number of Thallium,81,133,154,False,22,-5.199552536010742,178,False,2,-1.9270553588867188,160,False,15,-4.022638320922852,169,False,6,-3.047657012939453,160,False,4,-2.568033218383789,160,False,30,-5.891227722167969,160,False,5,-2.7569007873535156
two_fact_0050,the atomic number of Zirconium,40,the atomic number of Phosphorus,15,55,55,True,1,-0.08093643188476562,55,True,1,-0.07285690307617188,55,True,1,-0.27745819091796875,55,True,1,-0.004547119140625,55,True,1,-0.02667999267578125,55,True,1,-0.03082275390625,55,True,1,-0.00104522705078125
two_fact_0051,the atomic number of Iron,26,the atomic number of Potassium,19,45,45,True,1,-0.20163345336914062,45,True,1,-0.10237884521484375,45,True,1,-0.2142791748046875,45,True,1,-0.589935302734375,45,True,1,-0.14117813110351562,47,False,2,-1.2632179260253906,47,False,2,-1.9427490234375
two_fact_0052,the atomic number of Mercury,80,the atomic number of Plutonium,94,174,194,False,2,-0.8236160278320312,194,False,2,-1.7849273681640625,174,True,1,-0.733856201171875,194,False,2,-1.5025062561035156,174,True,1,-0.8715057373046875,174,True,1,-0.8228912353515625,154,False,2,-0.9356193542480469
two_fact_0053,the atomic number of Rhodium,45,the atomic number of Carbon,6,51,55,False,4,-3.923421859741211,52,False,3,-2.521648406982422,52,False,4,-4.617502212524414,55,False,2,-2.077239990234375,55,False,2,-4.603336334228516,51,True,1,-0.4679603576660156,51,True,1,-0.2593841552734375
two_fact_0054,the atomic number of Xenon,54,the atomic number of Rubidium,37,91,119,False,12,-7.663738250732422,119,False,10,-6.5638427734375,131,False,39,-10.22988510131836,131,False,17,-6.834999084472656,131,False,31,-8.687335968017578,119,False,11,-7.001800537109375,119,False,32,-6.720869064331055
two_fact_0055,the atomic number of Curium,96,the atomic number of Niobium,41,137,137,True,1,-1.0107841491699219,141,False,2,-1.97259521484375,141,False,4,-3.3229808807373047,141,False,14,-4.36865234375,141,False,11,-5.525688171386719,147,False,12,-5.855014801025391,151,False,8,-4.844482421875
two_fact_0056,the atomic number of Erbium,68,the atomic number of Carbon,6,74,80,False,2,-1.329498291015625,82,False,5,-5.4476318359375,82,False,6,-6.164878845214844,74,True,1,-0.7682914733886719,80,False,2,-1.1798515319824219,80,False,2,-4.097206115722656,74,True,1,-0.45758056640625
two_fact_0057,the atomic number of Niobium,41,the atomic number of Bismuth,83,124,138,False,34,-10.713241577148438,138,False,79,-11.43768310546875,141,False,92,-12.279422760009766,138,False,68,-13.13432502746582,138,False,92,-14.107904434204102,138,False,93,-14.699542999267578,138,False,43,-10.632238388061523
two_fact_0058,the atomic number of Oxygen,8,the atomic number of Lutetium,71,79,79,True,1,-1.0376052856445312,77,False,2,-1.4444961547851562,79,True,1,-0.5539970397949219,77,False,2,-2.2523841857910156,77,False,2,-2.6852760314941406,79,True,1,-0.6179771423339844,79,True,1,-0.228759765625
two_fact_0059,the atomic number of Rubidium,37,the atomic number of Californium,98,135,149,False,63,-10.519784927368164,150,False,88,-11.400617599487305,148,False,136,-12.841028213500977,149,False,80,-11.093034744262695,155,False,57,-9.174835205078125,149,False,57,-10.000625610351562,155,False,26,-7.53631591796875
two_fact_0060,the atomic number of Arsenic,33,the atomic number of Americium,95,128,148,False,7,-9.540060043334961,148,False,24,-13.066482543945312,148,False,12,-11.614906311035156,148,False,8,-8.53851318359375,148,False,4,-5.257526397705078,148,False,4,-5.216732025146484,148,False,4,-2.4964427947998047
two_fact_0061,the atomic number of Silicon,14,the atomic number of Gallium,31,45,46,False,7,-4.049747467041016,55,False,16,-6.069568634033203,55,False,8,-5.073465347290039,55,False,12,-6.652515411376953,47,False,4,-2.497570037841797,49,False,7,-3.5378494262695312,46,False,5,-4.829036712646484
two_fact_0062,the atomic number of Chromium,24,the atomic number of Gallium,31,55,55,True,1,-0.0253448486328125,55,True,1,-0.00084686279296875,55,True,1,-0.00241851806640625,55,True,1,-0.013195037841796875,55,True,1,-0.001514434814453125,55,True,1,-0.004756927490234375,55,True,1,-0.012844085693359375
two_fact_0063,the atomic number of Nitrogen,7,the atomic number of Bromine,35,42,42,True,1,-0.18224334716796875,42,True,1,-0.00251007080078125,42,True,1,-0.09156417846679688,42,True,1,-0.0032501220703125,42,True,1,-0.00658416748046875,42,True,1,-0.002254486083984375,42,True,1,-0.002330780029296875
two_fact_0064,the atomic number of Gallium,31,the atomic number of Lutetium,71,102,104,False,2,-7.302433013916016,104,False,16,-9.55703353881836,104,False,6,-8.501789093017578,104,False,2,-7.480930328369141,104,False,2,-3.546295166015625,104,False,12,-8.627952575683594,104,False,2,-4.846752166748047
two_fact_0065,the atomic number of Silicon,14,the atomic number of Molybdenum,42,56,56,True,1,-0.14288330078125,56,True,1,-0.10002899169921875,56,True,1,-0.0094757080078125,56,True,1,-0.01474761962890625,56,True,1,-0.03807830810546875,56,True,1,-0.14465713500976562,56,True,1,-0.17926025390625
two_fact_0066,the atomic number of Holmium,67,the atomic number of Radon,86,153,140,False,38,-8.23984146118164,140,False,35,-6.0447235107421875,134,False,17,-3.954212188720703,143,False,4,-2.952239990234375,167,False,2,-2.4552955627441406,140,False,18,-4.088264465332031,167,False,7,-2.9704933166503906
two_fact_0067,the atomic number of Indium,49,the atomic number of Erbium,68,117,149,False,4,-3.854978561401367,149,False,2,-3.294149398803711,149,False,5,-3.607126235961914,149,False,3,-2.395702362060547,131,False,8,-2.826295852661133,149,False,6,-3.6234073638916016,131,False,4,-2.5312461853027344
two_fact_0068,the atomic number of Scandium,21,the atomic number of Ytterbium,70,91,91,True,1,-0.05657196044921875,121,False,2,-1.6558380126953125,91,True,1,-0.09526824951171875,91,True,1,-0.050968170166015625,91,True,1,-0.019054412841796875,91,True,1,-0.006031036376953125,91,True,1,-0.0013275146484375
two_fact_0069,the atomic number of Gallium,31,the atomic number of Thorium,90,121,113,False,2,-1.8870620727539062,131,False,6,-3.480560302734375,131,False,3,-2.6852645874023438,131,False,3,-2.645416259765625,121,True,1,-0.7393150329589844,109,False,3,-1.8064537048339844,111,False,3,-1.8432807922363281
two_fact_0070,the atomic number of Rhodium,45,the atomic number of Thulium,69,114,142,False,65,-10.319305419921875,118,False,62,-9.225460052490234,148,False,91,-12.418325424194336,142,False,96,-10.683061599731445,148,False,74,-9.803688049316406,142,False,65,-11.095821380615234,148,False,72,-11.386621475219727
two_fact_0071,the atomic number of Gallium,31,the atomic number of Copper,29,60,62,False,5,-4.941741943359375,62,False,2,-3.824563980102539,62,False,3,-4.857721328735352,62,False,3,-4.531059265136719,62,False,2,-4.184535980224609,62,False,4,-3.27264404296875,62,False,5,-2.8092079162597656
two_fact_0072,the atomic number of Nickel,28,the atomic number of Samarium,62,90,90,True,1,-0.7365646362304688,92,False,2,-1.9610939025878906,108,False,2,-1.7625045776367188,90,True,1,-0.6195640563964844,88,False,2,-1.1820793151855469,90,True,1,-0.7901573181152344,88,False,2,-1.3540992736816406
two_fact_0073,the atomic number of Krypton,36,the atomic number of Yttrium,39,75,75,True,1,-0.7275962829589844,75,True,1,-0.5504302978515625,75,True,1,-0.7142219543457031,75,True,1,-0.55438232421875,75,True,1,-0.08541107177734375,75,True,1,-0.21146011352539062,75,True,1,-0.15348434448242188
two_fact_0074,the atomic number of Zinc,30,the atomic number of Praseodymium,59,89,89,True,1,-0.08320999145507812,89,True,1,-0.00687408447265625,89,True,1,-0.00211334228515625,89,True,1,-0.0161895751953125,89,True,1,-0.08327102661132812,89,True,1,-0.03060150146484375,89,True,1,-0.02913665771484375
two_fact_0075,the atomic number of Polonium,84,the atomic number of Actinium,89,173,145,False,49,-8.88277816772461,137,False,28,-6.769514083862305,157,False,14,-5.48023796081543,137,False,30,-6.659767150878906,157,False,21,-5.575214385986328,157,False,36,-6.574378967285156,145,False,48,-8.17569351196289
two_fact_0076,the atomic number of Tungsten,74,the atomic number of Krypton,36,110,110,True,1,-0.20597457885742188,110,True,1,-0.15492630004882812,110,True,1,-0.6021385192871094,110,True,1,-1.0553321838378906,110,True,1,-0.4665260314941406,110,True,1,-0.2565116882324219,110,True,1,-0.5713424682617188
two_fact_0077,the atomic number of Berkelium,97,the atomic number of Magnesium,12,109,109,True,1,-0.2320098876953125,109,True,1,-0.037670135498046875,109,True,1,-0.3386497497558594,109,True,1,-0.2919044494628906,109,True,1,-0.018894195556640625,109,True,1,-0.01753997802734375,109,True,1,-0.0356597900390625
two_fact_0078,the atomic number of Potassium,19,the atomic number of Radon,86,105,96,False,9,-3.961179733276367,104,False,14,-4.471498489379883,112,False,5,-2.6993865966796875,96,False,5,-3.3584938049316406,119,False,6,-3.2648086547851562,119,False,2,-1.5624923706054688,96,False,3,-3.1947097778320312
two_fact_0079,the atomic number of Fluorine,9,the atomic number of Gadolinium,64,73,73,True,1,-0.010784149169921875,73,True,1,-0.023197174072265625,73,True,1,-0.025272369384765625,73,True,1,-0.005641937255859375,73,True,1,-0.02794647216796875,73,True,1,-0.00646209716796875,73,True,1,-0.006710052490234375
two_fact_0080,the atomic number of Radon,86,the atomic number of Beryllium,4,90,94,False,6,-6.979936599731445,94,False,4,-5.548810958862305,92,False,4,-4.975534439086914,94,False,6,-7.640682220458984,94,False,4,-6.924867630004883,94,False,4,-5.68798828125,92,False,3,-2.622913360595703
two_fact_0081,the atomic number of Gold,79,the atomic number of Astatine,85,164,185,False,47,-8.939014434814453,179,False,54,-7.124399185180664,179,False,39,-7.33955192565918,185,False,68,-8.465721130371094,185,False,59,-9.375616073608398,185,False,84,-11.749174118041992,197,False,58,-8.549440383911133
two_fact_0082,the atomic number of Caesium,55,the atomic number of Phosphorus,15,70,68,False,4,-3.014394760131836,70,True,1,-0.5323219299316406,72,False,4,-4.8948974609375,72,False,2,-7.1699371337890625,72,False,3,-4.139278411865234,72,False,3,-3.8404922485351562,70,True,1,-0.3826179504394531
two_fact_0083,the atomic number of Americium,95,the atomic number of Einsteinium,99,194,200,False,4,-4.694889068603516,200,False,6,-4.817710876464844,200,False,6,-4.248125076293945,200,False,4,-4.329496383666992,200,False,5,-4.300210952758789,200,False,6,-5.498081207275391,200,False,7,-4.89317512512207
two_fact_0084,the atomic number of Niobium,41,the atomic number of Nickel,28,69,69,True,1,-0.3167457580566406,69,True,1,-0.19391632080078125,69,True,1,-0.624176025390625,69,True,1,-1.0830307006835938,69,True,1,-1.2253379821777344,69,True,1,-1.1102447509765625,69,True,1,-0.9989051818847656
two_fact_0085,the atomic number of Vanadium,23,the atomic number of Ytterbium,70,93,93,True,1,-0.11761093139648438,123,False,2,-1.7298583984375,103,False,2,-1.5962982177734375,123,False,2,-1.9167366027832031,93,True,1,-0.6770439147949219,93,True,1,-0.3864326477050781,93,True,1,-0.44646453857421875
two_fact_0086,the atomic number of Radium,88,the atomic number of Platinum,78,166,178,False,3,-2.7800216674804688,178,False,3,-4.135871887207031,178,False,3,-3.213846206665039,178,False,6,-4.734523773193359,178,False,5,-5.6083984375,178,False,9,-5.504831314086914,178,False,6,-4.680051803588867
two_fact_0087,the atomic number of Krypton,36,the atomic number of Arsenic,33,69,69,True,1,-0.36559486389160156,69,True,1,-0.0206756591796875,69,True,1,-0.31171417236328125,69,True,1,-0.09680938720703125,69,True,1,-0.12237167358398438,69,True,1,-0.019756317138671875,69,True,1,-0.058399200439453125
two_fact_0088,the atomic number of Scandium,21,the atomic number of Neodymium,60,81,73,False,2,-2.169309616088867,81,True,1,-0.7387886047363281,81,True,1,-0.6636276245117188,81,True,1,-0.78607177734375,73,False,2,-1.2396163940429688,81,True,1,-0.3178749084472656,81,True,1,-0.17372894287109375
two_fact_0089,the atomic number of Fluorine,9,the atomic number of Thallium,81,90,90,True,1,-0.039398193359375,90,True,1,-0.034282684326171875,90,True,1,-0.15591812133789062,90,True,1,-0.02423095703125,90,True,1,-0.0429840087890625,90,True,1,-0.0163116455078125,90,True,1,-0.011653900146484375
two_fact_0090,the atomic number of Erbium,68,the atomic number of Gadolinium,64,132,140,False,3,-2.342683792114258,132,True,1,-1.3520774841308594,140,False,3,-2.7225914001464844,140,False,2,-1.7030448913574219,136,False,3,-2.1929264068603516,136,False,4,-3.0193824768066406,136,False,2,-1.2966499328613281
two_fact_0091,the atomic number of Scandium,21,the atomic number of Cerium,58,79,76,False,2,-1.5214920043945312,79,True,1,-1.0370559692382812,79,True,1,-0.5810127258300781,79,True,1,-0.4538726806640625,79,True,1,-0.5216140747070312,79,True,1,-0.4783782958984375,79,True,1,-0.39154052734375
